,Marker,pvalue
1, alt,0.001137233
2, bio2,0.7286365
3, bio3,2.24E-06
4, bio5,0.001597947
5, bio6,8.11E-07
6, bio8,0.3283833
7, bio9,3.03E-06
8, bio12,3.48E-05
9, bio13,0.008699444
10, bio14,2.11E-05
11, bio19,0.1469315
