X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,2.7045256203509757E-4,95.43100558211215,0.8569895445195507
2.0,2.0,train,2.6148172215681616E-4,93.58637826270336,0.8474599035547189
3.0,3.0,train,2.7942804052125705E-4,97.6068847938381,0.8659283122353151
4.0,4.0,train,2.824686302070329E-4,98.29826821149439,0.8688279773458742
5.0,5.0,train,2.667241243209143E-4,94.50387626701355,0.8531033732677196
6.0,6.0,train,2.6235283282603533E-4,93.75361029734952,0.8484124584957753
8.0,8.0,train,2.137579656053526E-4,75.52119368638175,0.7850057367939675
9.0,9.0,train,2.2330060378723736E-4,79.93374912732286,0.7992641691196589
11.0,11.0,train,2.0449639586015407E-4,70.99439273803343,0.7701994534476468
12.0,12.0,train,1.8210920145273507E-4,62.67540020142457,0.7300601521783575
13.0,13.0,train,1.6840418400511348E-4,58.356613540348555,0.7021015681167359
14.0,14.0,train,1.2481970616886316E-4,29.240110699087523,0.5924471175603838
15.0,15.0,train,1.4473152815131526E-4,44.594219257935464,0.6468178900337125
16.0,16.0,train,2.1032149251624748E-4,73.67339852635446,0.7796266418927189
18.0,18.0,train,1.7373627326174994E-4,59.96604058377716,0.7133077667230694
19.0,19.0,train,2.094336548089705E-4,73.20958810333903,0.7782151707147613
20.0,20.0,train,1.2259794149365103E-4,27.693705528815016,0.5858834255322809
21.0,21.0,train,1.513454575998653E-4,49.6728144489144,0.6632224148976209
22.0,22.0,train,1.5444958967985014E-4,51.71323497353358,0.6706566700408418
23.0,23.0,train,9.99518954232429E-5,18.343023082258856,0.5126432824725538
24.0,24.0,train,2.4349564946007463E-4,88.21494900309804,0.8263978454558716
25.0,25.0,train,2.0582604347968997E-4,71.54946813115207,0.7723862341540508
27.0,27.0,train,1.8621917058934647E-4,64.16862607162984,0.7379214782372217
28.0,28.0,train,1.585908447033168E-4,54.01680953018898,0.6803199038201085
29.0,29.0,train,1.6114254183506385E-4,54.98097938440089,0.6861323444059422
30.0,30.0,train,1.6883127482823128E-4,58.52365476199453,0.7030150794641048
31.0,31.0,train,1.7100149598971685E-4,59.16810574978759,0.7076138971382921
32.0,32.0,train,1.7183920552596123E-4,59.55571893486917,0.7093699394404324
33.0,33.0,train,1.475564134867606E-4,46.83243166948803,0.653920011757305
34.0,34.0,train,1.270871201867231E-4,30.73163403189561,0.5990384198708403
35.0,35.0,train,1.6881425592715215E-4,58.51816837357714,0.7029787311128617
36.0,36.0,train,1.6343346050536953E-4,56.18718012800246,0.6912606756293633
37.0,37.0,train,1.1982117152141781E-4,26.353565042837868,0.5775312823290051
38.0,38.0,train,1.2091033739550152E-4,26.840130999043105,0.5808272365407872
39.0,39.0,train,1.1313476959990959E-4,23.199400803685585,0.5567217641989899
40.0,40.0,train,1.1066628947652316E-4,21.999761082151466,0.548782896850914
41.0,41.0,train,1.1220131340696908E-4,22.793036393104693,0.5537362372165314
42.0,42.0,train,1.115953084167371E-4,22.450179881963145,0.5517872603609832
43.0,43.0,train,1.107600745876325E-4,22.039961076697796,0.5490871010745167
44.0,44.0,train,2.4701479649561636E-4,89.5230814451329,0.8307359611930599
46.0,46.0,train,2.7681908676835285E-4,97.04108869270799,0.8633892346090727
47.0,47.0,train,2.39775501985038E-4,86.68409392246865,0.8216910045744574
48.0,48.0,train,2.498944154741812E-4,90.60924288823158,0.8342049519426309
49.0,49.0,train,2.3798197170833623E-4,86.13165559065817,0.8193763945448163
50.0,50.0,train,2.538072014733804E-4,91.79737993682411,0.8388049148053114
51.0,51.0,train,2.1914387129683144E-4,78.00818717556713,0.7931733433290927
7.0,7.0,test,1.5844890478623917E-4,53.95411666507723,0.6799934407708184
10.0,10.0,test,2.4398815537287025E-4,88.34735130798911,0.8270115932702926
17.0,17.0,test,2.1077543054767007E-4,73.9228433598846,0.7803448317190289
26.0,26.0,test,2.1839243452501024E-4,77.72868499160788,0.7920527059805018
45.0,45.0,test,1.9637729111522632E-4,67.758999401071,0.7563831702334394
