x,y,species_8 cloglog values
227.0,227.0,0.09263227
228.0,228.0,0.83434004
229.0,229.0,0.5286177
230.0,230.0,0.19098248
231.0,231.0,0.5346268
232.0,232.0,0.093564264
233.0,233.0,0.53599733
234.0,234.0,0.49368888
235.0,235.0,0.87557346
236.0,236.0,0.256702
237.0,237.0,0.51087797
238.0,238.0,2.7002132E-4
239.0,239.0,0.7763682
240.0,240.0,0.57892025
241.0,241.0,0.84467345
242.0,242.0,0.5658981
243.0,243.0,0.3249216
244.0,244.0,0.20117821
245.0,245.0,0.5416117
246.0,246.0,0.32437715
247.0,247.0,0.09406236
248.0,248.0,0.592113
249.0,249.0,0.48806012
250.0,250.0,0.6802813
251.0,251.0,0.60451186
252.0,252.0,0.6664224
253.0,253.0,0.82716876
254.0,254.0,0.0934213
255.0,255.0,0.79651725
256.0,256.0,0.4681127
257.0,257.0,0.62593025
258.0,258.0,0.22694847
259.0,259.0,0.4716006
260.0,260.0,0.53248376
261.0,261.0,0.12519239
262.0,262.0,0.8675921
263.0,263.0,0.716452
264.0,264.0,0.67978716
265.0,265.0,0.6567942
266.0,266.0,0.29136592
267.0,267.0,0.7286051
268.0,268.0,0.45632067
269.0,269.0,0.47656706
270.0,270.0,0.7384526
271.0,271.0,0.15209413
272.0,272.0,0.09693309
273.0,273.0,0.21862514
274.0,274.0,0.44939741
275.0,275.0,0.06851135
276.0,276.0,0.51441646
277.0,277.0,0.6759575
278.0,278.0,0.056332722
279.0,279.0,0.45207176
280.0,280.0,8.795933E-4
281.0,281.0,0.43938428
282.0,282.0,0.8022066
283.0,283.0,0.61781746
284.0,284.0,0.172642
285.0,285.0,0.89418
286.0,286.0,0.5158953
287.0,287.0,0.21531941
288.0,288.0,0.5844122
289.0,289.0,0.13893105
290.0,290.0,0.80533767
291.0,291.0,0.8476372
292.0,292.0,0.77333224
293.0,293.0,0.19928876
294.0,294.0,0.22110151
295.0,295.0,0.67536485
296.0,296.0,0.47570762
297.0,297.0,0.60844254
298.0,298.0,0.27062908
299.0,299.0,0.4315102
300.0,300.0,0.14383782
301.0,301.0,0.11702254
302.0,302.0,0.8560024
303.0,303.0,0.5872774
304.0,304.0,0.6821097
305.0,305.0,0.49054033
306.0,306.0,0.16498032
307.0,307.0,0.31261554
308.0,308.0,0.62126905
309.0,309.0,0.05290351
310.0,310.0,0.16326164
311.0,311.0,0.34147224
312.0,312.0,0.7810424
313.0,313.0,0.65458995
314.0,314.0,2.1943187E-4
315.0,315.0,0.16513814
316.0,316.0,0.8490895
317.0,317.0,0.07062542
318.0,318.0,0.5044754
319.0,319.0,0.5396753
320.0,320.0,9.325355E-5
321.0,321.0,0.44788274
322.0,322.0,0.178382
323.0,323.0,0.08399427
324.0,324.0,0.59549147
325.0,325.0,0.7612865
326.0,326.0,0.007596183
327.0,327.0,0.07028267
328.0,328.0,0.51836926
329.0,329.0,0.24569215
330.0,330.0,0.60102516
331.0,331.0,0.06502426
332.0,332.0,0.10302506
333.0,333.0,0.13419488
334.0,334.0,0.8080818
335.0,335.0,0.5893654
336.0,336.0,0.02214248
337.0,337.0,0.17055848
338.0,338.0,0.30081397
339.0,339.0,0.6575547
340.0,340.0,0.23167162
341.0,341.0,0.31759387
342.0,342.0,5.463886E-4
343.0,343.0,0.26689887
344.0,344.0,0.45078108
345.0,345.0,0.19492716
346.0,346.0,0.69825447
347.0,347.0,0.66152096
348.0,348.0,0.2390577
349.0,349.0,0.058409747
350.0,350.0,0.49610302
351.0,351.0,0.67046
352.0,352.0,0.47710392
353.0,353.0,0.50101024
354.0,354.0,0.6129172
355.0,355.0,0.5883089
356.0,356.0,0.38086438
357.0,357.0,0.15587042
358.0,358.0,0.5037366
359.0,359.0,0.519181
360.0,360.0,0.34527075
361.0,361.0,5.8109414E-5
362.0,362.0,0.6733823
363.0,363.0,0.7085748
364.0,364.0,0.7630955
365.0,365.0,0.16957706
366.0,366.0,0.16922155
367.0,367.0,0.17917764
368.0,368.0,0.1782133
369.0,369.0,0.22949342
370.0,370.0,0.7203175
371.0,371.0,0.64194757
372.0,372.0,0.36459583
373.0,373.0,0.49816
374.0,374.0,0.24419297
375.0,375.0,0.16945566
376.0,376.0,0.32089344
377.0,377.0,0.59891635
378.0,378.0,0.2286933
379.0,379.0,0.70272344
380.0,380.0,0.06114716
381.0,381.0,0.6723398
382.0,382.0,0.4347301
383.0,383.0,0.0745506
384.0,384.0,0.46962926
385.0,385.0,0.5707718
386.0,386.0,0.7803219
387.0,387.0,0.7882171
388.0,388.0,0.77402896
389.0,389.0,0.6736766
390.0,390.0,0.6306451
391.0,391.0,0.5028521
392.0,392.0,0.071845874
393.0,393.0,0.19591711
394.0,394.0,0.42917377
395.0,395.0,0.455907
396.0,396.0,0.43327713
397.0,397.0,0.5053236
398.0,398.0,0.6694187
399.0,399.0,0.86187685
400.0,400.0,0.0022553375
401.0,401.0,0.32044497
402.0,402.0,0.80589664
403.0,403.0,0.66920525
404.0,404.0,0.60801667
405.0,405.0,0.55901533
406.0,406.0,0.081477426
407.0,407.0,0.38133046
408.0,408.0,0.13634638
409.0,409.0,0.57455826
410.0,410.0,0.04259605
411.0,411.0,4.033178E-5
412.0,412.0,0.6156118
413.0,413.0,0.059902858
414.0,414.0,0.1707742
415.0,415.0,0.47907096
416.0,416.0,0.040753793
417.0,417.0,0.29301637
418.0,418.0,0.10914899
419.0,419.0,0.016723802
420.0,420.0,0.8428376
421.0,421.0,0.028500045
422.0,422.0,0.62295145
423.0,423.0,0.20323247
424.0,424.0,0.60952103
425.0,425.0,0.07948802
426.0,426.0,0.19496737
427.0,427.0,0.21508802
