Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.91638E-12,0.000000002,0.000000041,0.999403816,0,0
9.35366E-12,0.000000003,0.000000055,0.999304452,0,0
2.08448E-11,0.000000011,0.000000122,0.998807631,0,0
4.84735E-11,0.000000029,0.000000284,0.998310811,0,0
1.03005E-10,0.000000109,0.000000604,0.99731717,0,0
2.53086E-10,0.000000267,0.000001483,0.996323529,0,0
5.42811E-10,0.000001043,0.000003181,0.994435612,0,0
9.6132E-10,0.000002504,0.000005634,0.992647059,0,0
2.53758E-9,0.000010032,0.000014872,0.988076312,0,0
5.85777E-9,0.000025078,0.000034331,0.984201113,0,0
1.10852E-8,0.00005056,0.000064967,0.981220191,0,0
1.95036E-8,0.000100381,0.000114301,0.978040541,0,0
3.78813E-8,0.000252766,0.000221991,0.972774245,0,0
6.98444E-8,0.000503793,0.000409262,0.968203498,0,0
1.41911E-7,0.001009899,0.000831371,0.96313593,0,0
2.74022E-7,0.002506803,0.001604708,0.956279809,0,0
4.47398E-7,0.005010337,0.002618689,0.949125596,0,0
7.67778E-7,0.010023758,0.004489707,0.940878378,0,0
1.74394E-6,0.025154585,0.010168901,0.928557234,0,0
2.67653E-6,0.050090306,0.015564317,0.917329094,0,0
4.1664E-6,0.100376972,0.024122821,0.902325119,0,0
6.74765E-6,0.200219391,0.038775081,0.884141494,0,0
8.57803E-6,0.30044521,0.049031512,0.871124801,0,0
1.02858E-5,0.400527711,0.058502155,0.860492846,0,0
1.13802E-5,0.500433535,0.064521633,0.851351351,0,0
1.23023E-5,0.601001986,0.069563682,0.842905405,0,0
1.3083E-5,0.700140957,0.073811449,0.835155008,0,0
1.3349E-5,0.750374224,0.075254078,0.831379173,0,0
1.36414E-5,0.800267231,0.076837473,0.827702703,0,0
1.40976E-5,0.900236929,0.079302141,0.82054849,0,0
1.45707E-5,1.000492565,0.081851689,0.813593005,0,0
1.50679E-5,1.101504634,0.084523303,0.806836248,0,0
1.56186E-5,1.201086352,0.0874734,0.800377583,0,0
1.62164E-5,1.301310956,0.090664705,0.794117647,0,0
1.66885E-5,1.400045643,0.093177375,0.788155803,0,0
1.73764E-5,1.500115914,0.096826085,0.782293323,0,0
1.88248E-5,1.751282179,0.104460502,0.768481717,0,0
2.02769E-5,2.000426946,0.112049541,0.75586248,0,0
2.17984E-5,2.250363528,0.119932309,0.744038156,0,0
2.34657E-5,2.501037186,0.128490337,0.733008744,0,0
2.49961E-5,2.75033867,0.136272362,0.722774245,0,0
2.65188E-5,3.000188661,0.143946421,0.71313593,0,0
2.78161E-5,3.252527118,0.150430281,0.703895072,0,0
2.90345E-5,3.502623278,0.156475356,0.695151033,0,0
3.02963E-5,3.751650581,0.162690621,0.686804452,0,0
3.14699E-5,4.001954561,0.168430183,0.678755962,0,0
3.25082E-5,4.251854906,0.173475124,0.671005564,0,0
3.39499E-5,4.500879381,0.180429452,0.663553259,0,0
3.52413E-5,4.753168414,0.186609096,0.656299682,0,0
3.6234E-5,5.003358919,0.191327343,0.649344197,0,0
3.73109E-5,5.25329655,0.196415283,0.64258744,0,0
3.83426E-5,5.502741905,0.201259708,0.636029412,0,0
3.94773E-5,5.751702579,0.206554062,0.629670111,0,0
4.05678E-5,6.00382133,0.211608715,0.623410175,0,0
4.1443E-5,6.254073857,0.215642354,0.617348967,0,0
4.2254E-5,6.501044181,0.219361659,0.611486486,0,0
4.31804E-5,6.753384646,0.223588886,0.605624006,0.015625,0
4.39618E-5,7.001797899,0.227136318,0.599960254,0.015625,0
4.50833E-5,7.251446656,0.232199752,0.594395866,0.015625,0
