variable,x,y
ppt9,796.777392578125,3.4032076655421406E-5
ppt9,801.356246875,3.4032076655421406E-5
ppt9,805.9351011718751,3.4032076655421406E-5
ppt9,810.51395546875,3.4032076655421406E-5
ppt9,815.092809765625,3.4032076655421406E-5
ppt9,819.6716640625001,3.4032076655421406E-5
ppt9,824.2505183593751,3.4032076655421406E-5
ppt9,828.82937265625,3.4032076655421406E-5
ppt9,833.408226953125,3.4032076655421406E-5
ppt9,837.9870812500001,3.4032076655421406E-5
ppt9,842.565935546875,3.4032076655421406E-5
ppt9,847.14478984375,3.4032076655421406E-5
ppt9,851.7236441406251,3.4032076655421406E-5
ppt9,856.3024984375,3.4032076655421406E-5
ppt9,860.881352734375,3.4032076655421406E-5
ppt9,865.4602070312501,3.4032076655421406E-5
ppt9,870.0390613281251,3.4032076655421406E-5
ppt9,874.617915625,3.4032076655421406E-5
ppt9,879.1967699218751,3.4032076655421406E-5
ppt9,883.7756242187501,3.4032076655421406E-5
ppt9,888.354478515625,3.4032076655421406E-5
ppt9,892.9333328125001,3.4032076655421406E-5
ppt9,897.5121871093751,3.4032076655421406E-5
ppt9,902.09104140625,3.4032076655421406E-5
ppt9,906.6698957031251,3.4032076655421406E-5
ppt9,911.2487500000001,3.4032076655421406E-5
ppt9,915.827604296875,3.4032076655421406E-5
ppt9,920.4064585937501,3.4032076655421406E-5
ppt9,924.9853128906251,3.4032076655421406E-5
ppt9,929.5641671875001,3.4032076655421406E-5
ppt9,934.1430214843751,3.4032076655421406E-5
ppt9,938.72187578125,3.4032076655421406E-5
ppt9,943.3007300781251,3.4032076655421406E-5
ppt9,947.8795843750001,3.4032076655421406E-5
ppt9,952.458438671875,3.4032076655421406E-5
ppt9,957.0372929687501,3.4032076655421406E-5
ppt9,961.616147265625,3.4032076655421406E-5
ppt9,966.1950015625,3.4032076655421406E-5
ppt9,970.7738558593751,3.4032076655421406E-5
ppt9,975.35271015625,3.4032076655421406E-5
ppt9,979.931564453125,3.4032076655421406E-5
ppt9,984.5104187500001,3.4032076655421406E-5
ppt9,989.0892730468751,3.5127890441799536E-5
ppt9,993.66812734375,3.862817175104283E-5
ppt9,998.2469816406251,4.247162360115908E-5
ppt9,1002.8258359375001,4.669127520173788E-5
ppt9,1007.404690234375,5.132344085723162E-5
ppt9,1011.9835445312501,5.640770905301906E-5
ppt9,1016.5623988281251,6.198744813445956E-5
ppt9,1021.141253125,6.811013008700684E-5
ppt9,1025.7201074218751,7.482767250621691E-5
ppt9,1030.29896171875,8.219689334509894E-5
ppt9,1034.877816015625,9.027990745380521E-5
ppt9,1039.4566703125001,9.914467227645218E-5
ppt9,1044.035524609375,1.0886548989219591E-4
ppt9,1048.61437890625,1.1952358181588352E-4
ppt9,1053.1932332031251,1.3120775111019611E-4
ppt9,1057.7720875,1.4401503722183406E-4
ppt9,1062.350941796875,1.580515381647274E-4
ppt9,1066.9297960937502,1.7343310173600912E-4
ppt9,1071.508650390625,1.9028638780582696E-4
ppt9,1076.0875046875,2.0874966867268085E-4
ppt9,1080.6663589843752,2.2897405142430216E-4
ppt9,1085.24521328125,2.511244674678892E-4
ppt9,1089.824067578125,2.753810549620539E-4
ppt9,1094.4029218750002,3.0194048304110765E-4
ppt9,1098.981776171875,3.3101742155849934E-4
ppt9,1103.56063046875,3.6284609814174473E-4
ppt9,1108.1394847656252,3.9768218994140625E-4
ppt9,1112.7183390625,4.358046571724117E-4
ppt9,1117.2971933593751,4.775177803821862E-4
ppt9,1121.8760476562502,5.231534596532583E-4
ppt9,1126.454901953125,5.73073688428849E-4
ppt9,1131.0337562500001,6.276731728576124E-4
ppt9,1135.6126105468752,6.873821839690208E-4
ppt9,1140.19146484375,7.526680128648877E-4
ppt9,1144.7703191406251,8.240453316830099E-4
ppt9,1149.3491734375002,9.020696161314845E-4
ppt9,1153.928027734375,9.873477974906564E-4
ppt9,1158.5068820312501,0.0010805410565808415
ppt9,1163.0857363281252,0.0011823695385828614
ppt9,1167.664590625,0.001293617533519864
ppt9,1172.2434449218752,0.00141513894777745
ppt9,1176.82229921875,0.0015478631248697639
ppt9,1181.401153515625,0.0016928017139434814
ppt9,1185.9800078125002,0.0018510555382817984
ppt9,1190.5588621093752,0.002023822395130992
ppt9,1195.13771640625,0.0022124052047729492
ppt9,1199.7165707031252,0.0024182205088436604
ppt9,1204.295425,0.002642808947712183
ppt9,1208.874279296875,0.0028878450393676758
ppt9,1213.4531335937502,0.0031551492866128683
ppt9,1218.0319878906253,0.0034466993529349566
ppt9,1222.6108421875,0.003764643333852291
ppt9,1227.189696484375,0.004111314658075571
ppt9,1231.76855078125,0.0044892472214996815
ppt9,1236.3474050781251,0.0049011907540261745
ppt9,1240.9262593750002,0.005350130144506693
ppt9,1245.5051136718753,0.005839303135871887
ppt9,1250.0839679687501,0.006372220814228058
ppt9,1254.662822265625,0.006952690426260233
ppt9,1259.2416765625,0.007584839127957821
ppt9,1263.8205308593751,0.008273137733340263
ppt9,1268.3993851562502,0.009022427722811699
ppt9,1272.978239453125,0.009837952442467213
ppt9,1277.5570937500001,0.010725384578108788
ppt9,1282.135948046875,0.01169086154550314
ppt9,1286.71480234375,0.01274101808667183
ppt9,1291.2936566406252,0.013883025385439396
ppt9,1295.8725109375,0.015124627389013767
ppt9,1300.451365234375,0.016474183648824692
ppt9,1305.0302195312502,0.017940716817975044
ppt9,1309.609073828125,0.019533947110176086
ppt9,1314.187928125,0.02126435376703739
ppt9,1318.7667824218752,0.023143161088228226
ppt9,1323.34563671875,0.025182601064443588
ppt9,1327.924491015625,0.027395667508244514
ppt9,1332.5033453125002,0.029796360060572624
ppt9,1337.082199609375,0.03239969536662102
ppt9,1341.6610539062501,0.03522177040576935
ppt9,1346.2399082031252,0.03827980160713196
ppt9,1350.8187625,0.041592203080654144
ppt9,1355.3976167968754,0.0451786108314991
ppt9,1359.9764710937502,0.049059972167015076
ppt9,1364.555325390625,0.05325855314731598
ppt9,1369.1341796875001,0.05779800936579704
ppt9,1373.7130339843752,0.06270340830087662
ppt9,1378.29188828125,0.06800124794244766
ppt9,1382.8707425781251,0.07371949404478073
ppt9,1387.4495968750002,0.07988754659891129
ppt9,1392.028451171875,0.08653624355792999
ppt9,1396.6073054687502,0.09369782358407974
ppt9,1401.1861597656252,0.10140582919120789
ppt9,1405.7650140625,0.10969506949186325
ppt9,1410.343868359375,0.11860141903162003
ppt9,1414.9227226562502,0.1281617134809494
ppt9,1419.501576953125,0.1384134739637375
ppt9,1424.0804312500002,0.1493947058916092
ppt9,1428.6592855468753,0.1611434817314148
ppt9,1433.23813984375,0.17369765043258667
ppt9,1437.8169941406252,0.18709427118301392
ppt9,1442.3958484375003,0.20136912167072296
ppt9,1446.9747027343751,0.21655607223510742
ppt9,1451.5535570312502,0.23268629610538483
ppt9,1456.132411328125,0.24978749454021454
ppt9,1460.7112656250001,0.2678830027580261
ppt9,1465.290119921875,0.2869906723499298
ppt9,1469.8689742187503,0.3071219027042389
ppt9,1474.4478285156251,0.3282802999019623
ppt9,1479.0266828125002,0.3504604697227478
ppt9,1483.6055371093753,0.37364670634269714
ppt9,1488.1843914062501,0.3978116810321808
ppt9,1492.7632457031252,0.422914981842041
ppt9,1497.3421000000003,0.4489012658596039
ppt9,1501.9209542968752,0.47570183873176575
ppt9,1506.49980859375,0.5032294988632202
ppt9,1511.078662890625,0.5313805341720581
ppt9,1515.6575171875002,0.5600338578224182
ppt9,1520.236371484375,0.5890507102012634
ppt9,1524.8152257812503,0.6182754039764404
ppt9,1529.3940800781252,0.6475366353988647
ppt9,1533.972934375,0.6766489744186401
ppt9,1538.5517886718753,0.7054158449172974
ppt9,1543.1306429687502,0.7336327433586121
ppt9,1547.7094972656253,0.761091411113739
ppt9,1552.2883515625,0.7875847816467285
ppt9,1556.8672058593752,0.8129125237464905
ppt9,1561.44606015625,0.8368870615959167
ppt9,1566.0249144531251,0.8593395352363586
ppt9,1570.6037687500002,0.8706733584403992
ppt9,1575.182623046875,0.858412504196167
ppt9,1579.7614773437501,0.8455716967582703
ppt9,1584.3403316406252,0.8321749567985535
ppt9,1588.9191859375,0.8182497024536133
ppt9,1593.4980402343754,0.8038262724876404
ppt9,1598.0768945312502,0.7889379858970642
ppt9,1602.655748828125,0.7736201882362366
ppt9,1607.2346031250001,0.757910430431366
ppt9,1611.8134574218752,0.7418476939201355
ppt9,1616.39231171875,0.7254721522331238
ppt9,1620.9711660156252,0.708824872970581
ppt9,1625.5500203125002,0.6919471621513367
ppt9,1630.128874609375,0.6748805046081543
ppt9,1634.7077289062502,0.6576662659645081
ppt9,1639.2865832031252,0.6403449773788452
ppt9,1643.8654375,0.6229565739631653
ppt9,1648.4442917968752,0.605539858341217
ppt9,1653.0231460937503,0.588132381439209
ppt9,1657.602000390625,0.5707700252532959
ppt9,1662.1808546875002,0.553487241268158
