Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.38494E-11,0.000000001,0.000000093,1,0,0
1.99419E-11,0.000000003,0.000000135,0.999900458,0,0
3.46398E-11,0.00000001,0.000000234,0.999701374,0,0
8.26856E-11,0.000000033,0.000000558,0.999402747,0,0
2.35743E-10,0.0000001,0.00000159,0.999104121,0,0
3.37259E-10,0.000000281,0.000002275,0.998506868,0,0
7.35127E-10,0.000001015,0.00000496,0.997113279,0,0
1.2236E-9,0.000002615,0.000008255,0.995520605,0,0
3.06066E-9,0.000010045,0.000020649,0.992036631,0,0
7.18082E-9,0.000025717,0.000048446,0.988950826,0,0
1.11876E-8,0.00005042,0.000075477,0.986263189,0,0
1.73601E-8,0.000101616,0.000117118,0.982580131,0,0
4.37611E-8,0.000253894,0.000295202,0.977603026,0,0
8.63858E-8,0.000505304,0.000582655,0.973621342,0,0
1.41155E-7,0.001012528,0.000951887,0.969141947,0,0
3.17163E-7,0.002522594,0.002137533,0.962273542,0,0
5.83007E-7,0.005038097,0.003925687,0.956699184,0,0
9.08257E-7,0.010077106,0.006109059,0.949830778,0,0
1.72636E-6,0.025137636,0.01157976,0.93858252,0,0
2.52981E-6,0.050210455,0.016923189,0.92673701,0,0
3.70403E-6,0.100121388,0.024680528,0.910412104,0,0
5.48818E-6,0.200456705,0.036350283,0.888512841,0,0
6.93573E-6,0.300316533,0.045715802,0.872586104,0,0
8.16324E-6,0.400213108,0.053586264,0.859347004,0,0
9.32453E-6,0.500298649,0.060972357,0.847999204,0,0
1.02949E-5,0.600232447,0.067100205,0.837845909,0,0
1.12278E-5,0.700246593,0.072953065,0.828588493,0,0
1.16456E-5,0.750561425,0.075562704,0.82420864,0,0
1.22313E-5,0.800666177,0.079208357,0.820027872,0,0
1.3062E-5,0.900479198,0.084354494,0.812164045,0,0
1.40415E-5,1.00036141,0.090385903,0.80479793,0,0
1.52403E-5,1.100251361,0.097712879,0.798029066,0,0
1.62779E-5,1.201062586,0.104007181,0.791658371,0,0
1.72285E-5,1.30000315,0.109735501,0.785785387,0,0
1.81318E-5,1.401160127,0.115144654,0.780111487,0,0
1.88366E-5,1.500864553,0.119341934,0.774736213,0,0
2.06021E-5,1.750738322,0.12976979,0.762094366,0,0
2.25948E-5,2.002138591,0.141391378,0.750547482,0,0
2.45851E-5,2.250950456,0.152843551,0.739996018,0,0
2.67004E-5,2.502442181,0.164847711,0.730240892,0,0
2.8629E-5,2.751780796,0.175644119,0.721282102,0,0
3.03119E-5,3.002861543,0.184951026,0.712821023,0,0
3.212E-5,3.252335368,0.194833453,0.704857655,0,0
3.4329E-5,3.501546788,0.2067443,0.697391997,0,0
3.61689E-5,3.752439094,0.216530236,0.690324507,0,0
3.74956E-5,4.002511253,0.223512017,0.683555644,0,0
3.9003E-5,4.25097796,0.231368684,0.677085407,0,0
4.02852E-5,4.500838947,0.237989532,0.670814254,0,0
4.16148E-5,4.750982089,0.244794081,0.664742186,0,0
4.3065E-5,5.000698862,0.252147417,0.658869202,0,0
4.41682E-5,5.253829127,0.257692737,0.65309576,0,0
4.56039E-5,5.501039753,0.264848436,0.647620944,0,0
4.65836E-5,5.75001556,0.269691587,0.64224567,0,0
4.79044E-5,6.000801133,0.27617047,0.636969938,0,0
4.92498E-5,6.253166646,0.282711105,0.631793749,0,0
5.032E-5,6.502433344,0.287871602,0.626816643,0,0
5.13735E-5,6.751365782,0.292915277,0.62193908,0,0
5.2617E-5,7.000997807,0.298822458,0.617161059,0,0
5.37257E-5,7.250513594,0.304047838,0.61248258,0,0
5.49273E-5,7.500875202,0.309667209,0.607903643,0,0
5.61241E-5,7.750893404,0.315218822,0.603424248,0,0
5.72173E-5,8.000533916,0.320251117,0.599044396,0,0
5.84002E-5,8.255258881,0.325654024,0.594664543,0,0
5.96664E-5,8.503402187,0.331390252,0.590483775,0,0
6.11578E-5,8.751295039,0.338084156,0.586402548,0,0
6.22435E-5,9.004504662,0.34291519,0.582321322,0,0
6.3197E-5,9.255380488,0.347128569,0.578339638,0,0
6.40467E-5,9.503258482,0.350860712,0.574457496,0,0
6.48619E-5,9.754665336,0.354421063,0.570575353,0,0
6.5871E-5,10.00316058,0.358801395,0.566792753,0,0
6.66695E-5,10.255034434,0.362246322,0.563010153,0,0
6.76149E-5,10.503365859,0.366301472,0.559327095,0,0
6.86998E-5,10.755719982,0.370922622,0.555644037,0,0.4
6.94549E-5,11.004369076,0.374119536,0.552060522,0,0.4
