x,y,species_4 cloglog values
1.0,1.0,0.754568
2.0,2.0,0.612735
3.0,3.0,0.78382486
4.0,4.0,0.24834143
5.0,5.0,0.10754704
6.0,6.0,0.8320402
7.0,7.0,0.03069103
8.0,8.0,0.5821996
9.0,9.0,0.8735884
10.0,10.0,0.3063103
11.0,11.0,0.08039634
12.0,12.0,0.06943559
13.0,13.0,0.7490245
14.0,14.0,0.045631632
15.0,15.0,0.8904967
16.0,16.0,0.054514635
17.0,17.0,0.061569918
18.0,18.0,0.51342875
19.0,19.0,0.002672329
20.0,20.0,0.0046559367
21.0,21.0,0.23793787
22.0,22.0,0.025265617
23.0,23.0,0.65262944
24.0,24.0,0.3090385
25.0,25.0,0.6336874
26.0,26.0,0.131343
27.0,27.0,0.46164593
28.0,28.0,0.53509384
29.0,29.0,0.32703635
30.0,30.0,0.7377006
31.0,31.0,0.2121967
32.0,32.0,0.21673776
33.0,33.0,0.0016378626
34.0,34.0,0.02577608
35.0,35.0,0.74578565
36.0,36.0,0.5811692
37.0,37.0,0.29941684
38.0,38.0,0.4706246
39.0,39.0,0.55100226
40.0,40.0,0.01633992
41.0,41.0,0.072269924
42.0,42.0,0.48276374
43.0,43.0,0.47027805
44.0,44.0,0.60026526
45.0,45.0,0.098242246
46.0,46.0,0.2767621
47.0,47.0,0.1410084
48.0,48.0,0.7537026
49.0,49.0,0.10015511
50.0,50.0,2.660312E-4
51.0,51.0,0.022188446
52.0,52.0,0.4780691
53.0,53.0,0.61252344
54.0,54.0,0.08815561
55.0,55.0,0.29415092
56.0,56.0,0.5395606
57.0,57.0,0.6054456
58.0,58.0,0.5959513
59.0,59.0,0.45168662
60.0,60.0,0.6134445
61.0,61.0,0.79080904
62.0,62.0,0.080889195
63.0,63.0,0.48356882
64.0,64.0,0.13174924
65.0,65.0,0.5326523
66.0,66.0,0.051713903
67.0,67.0,0.38876835
68.0,68.0,0.733682
69.0,69.0,0.05525781
70.0,70.0,0.19877307
71.0,71.0,0.36054528
72.0,72.0,0.6903419
73.0,73.0,0.3598335
74.0,74.0,0.089324385
75.0,75.0,0.65416455
76.0,76.0,0.68922615
77.0,77.0,0.53302157
78.0,78.0,0.31436124
79.0,79.0,0.8801981
80.0,80.0,0.29648644
81.0,81.0,0.67293113
82.0,82.0,0.2670512
83.0,83.0,0.03009439
84.0,84.0,0.0017974658
85.0,85.0,0.5192195
86.0,86.0,0.17657176
87.0,87.0,0.4009509
88.0,88.0,0.77893513
89.0,89.0,0.6095717
90.0,90.0,0.63825655
91.0,91.0,0.019979674
92.0,92.0,0.34715262
93.0,93.0,0.6459481
94.0,94.0,0.8073829
95.0,95.0,0.2775048
96.0,96.0,0.72314316
97.0,97.0,0.79531753
98.0,98.0,0.0010453246
99.0,99.0,0.38406298
100.0,100.0,0.6634688
101.0,101.0,0.22346243
102.0,102.0,0.32108343
103.0,103.0,0.079446234
104.0,104.0,0.09599011
105.0,105.0,0.8184329
106.0,106.0,0.41852382
107.0,107.0,0.70612323
108.0,108.0,0.13405584
109.0,109.0,0.037946936
110.0,110.0,0.08933399
111.0,111.0,0.52326477
112.0,112.0,0.6830039
113.0,113.0,0.17957477
114.0,114.0,0.41019225
115.0,115.0,0.37974405
116.0,116.0,0.59720767
117.0,117.0,0.1955179
118.0,118.0,0.6140141
119.0,119.0,0.03283871
120.0,120.0,0.7558954
121.0,121.0,0.44085678
122.0,122.0,0.6276456
123.0,123.0,0.35442105
124.0,124.0,1.9264415E-5
125.0,125.0,0.053104922
126.0,126.0,0.0020167916
127.0,127.0,0.46862942
128.0,128.0,0.50788534
129.0,129.0,0.7736204
130.0,130.0,0.6911371
131.0,131.0,0.57656074
132.0,132.0,0.61285996
133.0,133.0,0.06409877
134.0,134.0,0.01569543
135.0,135.0,0.45580965
136.0,136.0,0.08014501
137.0,137.0,0.26373684
138.0,138.0,0.4631541
139.0,139.0,0.07146092
140.0,140.0,0.8236678
141.0,141.0,0.11938425
142.0,142.0,0.62217623
143.0,143.0,0.0019229413
144.0,144.0,0.648934
145.0,145.0,0.40511167
146.0,146.0,0.1989829
147.0,147.0,0.5455412
148.0,148.0,0.027609928
149.0,149.0,0.6951859
150.0,150.0,0.24065053
151.0,151.0,0.50659186
152.0,152.0,0.8227323
153.0,153.0,0.71192414
154.0,154.0,0.79209083
155.0,155.0,0.60580665
156.0,156.0,0.18055198
157.0,157.0,0.057120237
158.0,158.0,0.8981797
159.0,159.0,0.18710677
160.0,160.0,0.4561486
161.0,161.0,0.05273393
162.0,162.0,0.08969518
163.0,163.0,0.021092808
164.0,164.0,0.6878671
165.0,165.0,0.381755
166.0,166.0,0.36950666
167.0,167.0,0.22857666
168.0,168.0,0.17378893
169.0,169.0,0.8229325
170.0,170.0,0.65113497
171.0,171.0,0.48541152
172.0,172.0,0.7796243
173.0,173.0,0.76633525
174.0,174.0,0.8022941
175.0,175.0,0.88955957
176.0,176.0,0.014759709
177.0,177.0,0.57194394
178.0,178.0,0.2770852
179.0,179.0,0.16454822
180.0,180.0,0.51039535
181.0,181.0,0.91953397
182.0,182.0,0.45284632
183.0,183.0,0.33508733
184.0,184.0,0.43308997
185.0,185.0,0.14323004
186.0,186.0,0.28748685
187.0,187.0,0.64198136
188.0,188.0,0.801682
189.0,189.0,0.19097266
190.0,190.0,0.039002597
191.0,191.0,0.45663697
192.0,192.0,0.58054405
193.0,193.0,0.85706174
194.0,194.0,0.6568404
195.0,195.0,0.6808873
196.0,196.0,0.7677376
197.0,197.0,0.8248195
198.0,198.0,0.5415202
199.0,199.0,0.16855448
200.0,200.0,0.11612047
201.0,201.0,0.12291779
202.0,202.0,0.8853578
203.0,203.0,0.8677407
204.0,204.0,0.6077553
205.0,205.0,0.44615054
206.0,206.0,0.44347438
207.0,207.0,0.66850895
208.0,208.0,0.39458612
209.0,209.0,0.44500697
210.0,210.0,0.59805804
211.0,211.0,0.09859908
212.0,212.0,0.134688
213.0,213.0,0.10851563
214.0,214.0,0.33043146
215.0,215.0,0.7586674
216.0,216.0,0.0590267
217.0,217.0,0.040692236
218.0,218.0,9.72912E-4
219.0,219.0,0.6776084
220.0,220.0,0.56092656
221.0,221.0,0.63117945
222.0,222.0,0.52969325
223.0,223.0,0.63930285
224.0,224.0,0.89634013
225.0,225.0,0.08721341
226.0,226.0,0.21962428
227.0,227.0,0.06485202
228.0,228.0,0.13095431
229.0,229.0,0.68410355
230.0,230.0,0.5073256
231.0,231.0,0.044302583
232.0,232.0,0.6839794
233.0,233.0,0.16976388
234.0,234.0,0.016732719
235.0,235.0,0.45822808
236.0,236.0,0.87180716
237.0,237.0,0.44960725
238.0,238.0,0.2650421
239.0,239.0,0.310777
240.0,240.0,0.8248925
241.0,241.0,0.4143222
242.0,242.0,0.7104437
243.0,243.0,0.7395339
244.0,244.0,0.055933725
245.0,245.0,0.49445552
246.0,246.0,0.24974273
247.0,247.0,0.4711727
248.0,248.0,0.79392236
249.0,249.0,0.663177
250.0,250.0,0.24367568
251.0,251.0,0.44737262
252.0,252.0,1.7339284E-5
253.0,253.0,1.0859924E-4
254.0,254.0,0.018341389
255.0,255.0,0.4170434
256.0,256.0,0.053216867
257.0,257.0,0.44259363
258.0,258.0,0.43392536
259.0,259.0,0.20773914
260.0,260.0,0.27558586
261.0,261.0,0.7165612
262.0,262.0,0.15043023
263.0,263.0,0.06433241
264.0,264.0,0.4621099
265.0,265.0,0.27260897
266.0,266.0,0.10784454
267.0,267.0,0.034100827
268.0,268.0,0.39369443
269.0,269.0,0.44785818
270.0,270.0,0.22110924
271.0,271.0,0.37182245
272.0,272.0,0.4418215
273.0,273.0,0.6096482
274.0,274.0,0.6394136
275.0,275.0,0.6629406
276.0,276.0,0.26063922
277.0,277.0,0.44226196
278.0,278.0,0.3694589
279.0,279.0,0.028336313
280.0,280.0,0.52731854
281.0,281.0,0.5833122
282.0,282.0,0.6835419
283.0,283.0,0.18338537
284.0,284.0,0.8249537
285.0,285.0,0.03942136
286.0,286.0,0.05007467
287.0,287.0,0.17404778
288.0,288.0,0.07667486
289.0,289.0,0.8817604
290.0,290.0,0.3253537
291.0,291.0,0.012743985
292.0,292.0,0.23660895
293.0,293.0,0.020355681
294.0,294.0,0.52936333
295.0,295.0,0.07465438
296.0,296.0,0.75845915
