x,y,species cloglog values
227.0,227.0,0.6490474
228.0,228.0,0.3020535
229.0,229.0,0.6581356
230.0,230.0,0.6058011
231.0,231.0,0.2175663
232.0,232.0,0.49543935
233.0,233.0,0.4516499
234.0,234.0,0.12139672
235.0,235.0,0.0764924
236.0,236.0,0.68717784
237.0,237.0,0.593281
238.0,238.0,0.40870225
239.0,239.0,0.6014532
240.0,240.0,0.795707
241.0,241.0,0.3505258
242.0,242.0,0.4165288
243.0,243.0,0.8961566
244.0,244.0,0.62255454
245.0,245.0,0.4084061
246.0,246.0,0.05273149
247.0,247.0,0.9140108
248.0,248.0,0.66219264
249.0,249.0,0.5109209
250.0,250.0,0.25957352
251.0,251.0,0.05172989
252.0,252.0,0.8319211
253.0,253.0,0.19765988
254.0,254.0,0.089432746
255.0,255.0,0.80508447
256.0,256.0,0.33524477
257.0,257.0,0.6137486
258.0,258.0,0.70804626
259.0,259.0,0.114818856
260.0,260.0,0.7129375
261.0,261.0,0.8694429
262.0,262.0,0.5032293
263.0,263.0,0.2524655
264.0,264.0,0.06389592
265.0,265.0,0.43231484
266.0,266.0,0.9072114
267.0,267.0,0.3418178
268.0,268.0,0.4747411
269.0,269.0,0.096659236
270.0,270.0,0.7930978
271.0,271.0,0.7622335
272.0,272.0,0.7533145
273.0,273.0,0.39207017
274.0,274.0,0.3273515
275.0,275.0,0.27549323
276.0,276.0,0.05330479
277.0,277.0,0.15240996
278.0,278.0,0.74931896
279.0,279.0,0.05211292
280.0,280.0,0.30937228
281.0,281.0,0.2997971
282.0,282.0,0.13118003
283.0,283.0,0.86730134
284.0,284.0,0.34208304
285.0,285.0,0.21935683
286.0,286.0,0.23601852
287.0,287.0,0.54317766
288.0,288.0,0.68586695
289.0,289.0,0.3737343
290.0,290.0,0.82113266
291.0,291.0,0.5896364
292.0,292.0,0.03676661
293.0,293.0,0.26422235
294.0,294.0,0.001144682
295.0,295.0,0.17773111
296.0,296.0,0.049837157
297.0,297.0,0.24567093
298.0,298.0,0.8237634
299.0,299.0,0.651138
300.0,300.0,0.8761481
301.0,301.0,0.2645923
302.0,302.0,0.289521
303.0,303.0,0.535668
304.0,304.0,0.49571022
