X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.0012796655949209562,99.9999655859092,0.9787781871928213
2.0,2.0,train,9.273538748866611E-4,91.78559943532106,0.9387021660554673
3.0,3.0,train,0.001202489367292085,99.39645415015468,0.9732272058202452
4.0,4.0,train,6.120546778598779E-4,68.96415647923833,0.8416156306533693
5.0,5.0,train,0.0011385343722218153,98.56283047210624,0.9675423112057029
6.0,6.0,train,0.001084069644060964,97.8429764505066,0.9617587081977202
7.0,7.0,train,7.749202373978721E-4,82.56614927481729,0.9030029264092769
8.0,8.0,train,0.001236587099191635,99.69302072787227,0.9758393031688745
9.0,9.0,train,7.502903122092804E-4,80.27153761248775,0.8955368030132247
10.0,10.0,train,0.0011130745851208512,98.39127883508213,0.9649565098661443
11.0,11.0,train,0.001138904707656366,98.5888187138229,0.9675784806941575
12.0,12.0,train,2.8500610140451947E-4,34.761105452472165,0.5760229708652875
13.0,13.0,train,5.505125414288312E-4,63.04431838445735,0.8093743680842664
14.0,14.0,train,7.801958706838707E-4,83.2221105487523,0.9045314084391531
16.0,16.0,train,6.259171872661415E-4,70.76499345173337,0.8480899539247937
17.0,17.0,train,6.760048942399212E-4,73.7866560558499,0.8693544337959591
19.0,19.0,train,8.126254104111827E-4,85.81817840315348,0.9134120406286107
15.0,15.0,test,6.247794226182538E-4,70.51036472454328,0.8475686937086615
18.0,18.0,test,6.614938694057346E-4,72.61585944137911,0.8635201736394565
