Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.99477E-13,0.000000001,0.000000003,0.99690557,0,0
2.64442E-12,0.000000003,0.000000008,0.996107007,0,0
8.9554E-12,0.00000001,0.000000026,0.994609703,0,0
2.29599E-11,0.000000027,0.000000066,0.99371132,0,0
8.45983E-11,0.000000104,0.000000245,0.992214015,0,0
1.44793E-10,0.000000263,0.000000419,0.99081653,0,0
2.1791E-10,0.000001005,0.000000631,0.986823717,0,0
3.16372E-10,0.000002518,0.000000915,0.9813336,0,0
8.15124E-10,0.000010081,0.000002359,0.966660012,0,0
1.81109E-9,0.000025046,0.000005241,0.954481933,0,0
3.50479E-9,0.000050002,0.000010142,0.945098822,0,0
6.20441E-9,0.000100607,0.000017953,0.934617688,0,0
1.07417E-8,0.000250214,0.000031083,0.916949491,0,0
1.67106E-8,0.000500462,0.000048354,0.898682372,0,0
2.59085E-8,0.001000671,0.000074968,0.874725494,0,0
5.33825E-8,0.002504895,0.00015446,0.835895388,0,0
9.59366E-8,0.005001307,0.000277572,0.801657017,0,0
1.84287E-7,0.010009949,0.000533125,0.764224396,0,0
5.65374E-7,0.025050672,0.001634679,0.718905969,0,0
1.10519E-6,0.050026369,0.00319297,0.68826113,0,0
2.17685E-6,0.100068669,0.00627933,0.656917548,0,0
3.3844E-6,0.200090144,0.009745606,0.620982232,0,0
4.45561E-6,0.300181411,0.012810381,0.59552805,0,0
5.54452E-6,0.400306351,0.015916097,0.575364344,0,0
6.4673E-6,0.500481166,0.018540332,0.55869435,0,0
7.4749E-6,0.600022559,0.021397782,0.544420044,0,0
8.47215E-6,0.700645644,0.024217677,0.531742863,0,0
8.90258E-6,0.750118542,0.025432308,0.526053104,0,0
9.37256E-6,0.800406211,0.026756797,0.520562987,0,0
1.02101E-5,0.900406421,0.029112783,0.510381314,0,0
1.08553E-5,1.000506319,0.030923488,0.500898383,0,0
1.16048E-5,1.100529069,0.033023202,0.492014374,0,0
1.25314E-5,1.200611681,0.035612399,0.483729287,0,0
1.31341E-5,1.300516372,0.037292802,0.475943302,0,0
1.38771E-5,1.400397275,0.039360451,0.468556598,0,0
1.46376E-5,1.500095877,0.041472274,0.461569175,0,0
1.63886E-5,1.751382787,0.046316606,0.445398283,0,0
1.84523E-5,2.000303478,0.051994698,0.431223797,0,0
