X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,6.023398396816133E-4,71.82084924557046,0.8669802406067673
2.0,2.0,train,6.170668345660608E-4,72.51222192510086,0.873381775441737
3.0,3.0,train,4.698537845479933E-4,62.40845801449832,0.7926935350342847
4.0,4.0,train,3.5024230008699834E-4,50.06335914986331,0.6905547028039729
5.0,5.0,train,6.589551423512169E-4,74.90111488411858,0.8899548190661689
6.0,6.0,train,2.280424664513286E-4,34.84600311022959,0.5340711548196391
7.0,7.0,train,0.001144040042557606,91.31857537637548,0.9783214261099139
8.0,8.0,train,9.033803832375176E-4,86.50392938510267,0.9514641756156079
9.0,9.0,train,4.670160559556492E-4,62.23621805437812,0.7907139744447704
10.0,10.0,train,3.537951909008608E-4,50.673193312169744,0.6942148984302694
11.0,11.0,train,0.0010774099785695482,90.37346828651482,0.9729017038310878
12.0,12.0,train,0.0017460167644692771,98.40070228637275,0.9971128123586025
13.0,13.0,train,2.2092987064386768E-4,34.011680601306196,0.5228393309201774
15.0,15.0,train,8.406988000238928E-4,84.23283541902968,0.9401270373161466
16.0,16.0,train,6.743114684642722E-4,75.8136300929175,0.8954712520407482
17.0,17.0,train,4.244086479597747E-4,58.527830613106254,0.7586144161594333
19.0,19.0,train,2.66291143423759E-4,39.45041750551125,0.5900903592169522
14.0,14.0,test,2.0676882106859354E-4,32.18783576886702,0.49966437338758296
18.0,18.0,test,3.009140335008007E-4,43.7500564335761,0.6349685719975574
