X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,4.248150913990384E-4,56.42095226484462,0.7584086276932008
2.0,2.0,train,3.2500581718254663E-4,46.081512704651686,0.6626933192566822
3.0,3.0,train,3.318339429394663E-4,47.02338145761919,0.6703074717472763
4.0,4.0,train,5.7547218738484E-4,69.67228109397884,0.8540189645009395
5.0,5.0,train,4.611754617337178E-4,60.23086882890921,0.7860665421128537
6.0,6.0,train,1.8184871275751677E-4,27.715469070409036,0.4555996460656695
7.0,7.0,train,0.001689366826729163,98.88110222068234,0.9964787802501452
8.0,8.0,train,6.064948036174154E-4,72.14309367853107,0.868403225987005
11.0,11.0,train,7.697757883734169E-4,81.53979020028912,0.9237696719951565
12.0,12.0,train,0.00174257124641779,99.26370934653595,0.9970526656385494
13.0,13.0,train,4.3631974905371137E-4,57.48411753589067,0.7675260472796598
14.0,14.0,train,4.269852397409562E-4,56.7089558647485,0.760155413469259
15.0,15.0,train,5.488067482964173E-4,67.35562839778213,0.8404046907500693
16.0,16.0,train,9.94196309017602E-4,91.07492292513581,0.9640065731212675
17.0,17.0,train,5.266798951711813E-4,65.37651367966448,0.8281486895089779
18.0,18.0,train,5.150117206514462E-4,64.70050556957628,0.821311160167775
19.0,19.0,train,4.0513922995016394E-4,54.026018411733894,0.7419791484799437
9.0,9.0,test,3.3035714454383207E-4,46.75149615917661,0.668675372114727
10.0,10.0,test,2.605456705921635E-4,38.15605938046119,0.5815589463114939
