variable,x,y
tmean9,6.574353981018066,3.244399977120338E-6
tmean9,6.615823483276367,3.244399977120338E-6
tmean9,6.657292985534668,3.244399977120338E-6
tmean9,6.698762487792969,3.244399977120338E-6
tmean9,6.74023199005127,3.244399977120338E-6
tmean9,6.781701492309571,3.244399977120338E-6
tmean9,6.823170994567872,3.244399977120338E-6
tmean9,6.864640496826173,3.244399977120338E-6
tmean9,6.906109999084473,3.244399977120338E-6
tmean9,6.947579501342774,3.244399977120338E-6
tmean9,6.989049003601075,3.244399977120338E-6
tmean9,7.0305185058593755,3.244399977120338E-6
tmean9,7.0719880081176765,3.244399977120338E-6
tmean9,7.113457510375977,3.244399977120338E-6
tmean9,7.154927012634278,3.244399977120338E-6
tmean9,7.196396514892579,3.244399977120338E-6
tmean9,7.23786601715088,3.244399977120338E-6
tmean9,7.279335519409181,3.244399977120338E-6
tmean9,7.320805021667482,3.244399977120338E-6
tmean9,7.362274523925783,3.244399977120338E-6
tmean9,7.403744026184084,3.244399977120338E-6
tmean9,7.445213528442385,3.244399977120338E-6
tmean9,7.486683030700686,3.244399977120338E-6
tmean9,7.528152532958986,3.244399977120338E-6
tmean9,7.569622035217287,3.244399977120338E-6
tmean9,7.611091537475588,3.244399977120338E-6
tmean9,7.652561039733889,3.244399977120338E-6
tmean9,7.6940305419921895,3.244399977120338E-6
tmean9,7.73550004425049,3.244399977120338E-6
tmean9,7.776969546508791,3.244399977120338E-6
tmean9,7.818439048767092,3.244399977120338E-6
tmean9,7.859908551025393,3.244399977120338E-6
tmean9,7.901378053283694,3.244399977120338E-6
tmean9,7.942847555541995,3.244399977120338E-6
tmean9,7.984317057800296,3.244399977120338E-6
tmean9,8.025786560058597,3.244399977120338E-6
tmean9,8.067256062316897,3.244399977120338E-6
tmean9,8.108725564575199,3.244399977120338E-6
tmean9,8.150195066833499,3.244399977120338E-6
tmean9,8.1916645690918,3.244399977120338E-6
tmean9,8.2331340713501,3.244399977120338E-6
tmean9,8.274603573608402,3.244399977120338E-6
tmean9,8.316073075866703,3.3155904475279385E-6
tmean9,8.357542578125004,3.538662895152811E-6
tmean9,8.399012080383304,3.776732455662568E-6
tmean9,8.440481582641606,4.0308182178705465E-6
tmean9,8.481951084899906,4.30199179390911E-6
tmean9,8.523420587158206,4.591401648212923E-6
tmean9,8.564890089416508,4.900273324892623E-6
tmean9,8.60635959167481,5.229915586824063E-6
