variable,x,y
tmean11,6.838445758819584,2.9823386284988374E-5
tmean11,6.8805760589599645,2.9823386284988374E-5
tmean11,6.922706359100346,2.9823386284988374E-5
tmean11,6.964836659240726,2.9823386284988374E-5
tmean11,7.006966959381107,2.9823386284988374E-5
tmean11,7.049097259521488,2.9823386284988374E-5
tmean11,7.091227559661869,2.9823386284988374E-5
tmean11,7.133357859802249,2.9823386284988374E-5
tmean11,7.17548815994263,2.9823386284988374E-5
tmean11,7.217618460083011,2.9823386284988374E-5
tmean11,7.259748760223392,2.9823386284988374E-5
tmean11,7.301879060363772,2.9823386284988374E-5
tmean11,7.344009360504153,2.9823386284988374E-5
tmean11,7.386139660644534,2.9823386284988374E-5
tmean11,7.428269960784915,2.9823386284988374E-5
tmean11,7.470400260925295,2.9823386284988374E-5
tmean11,7.5125305610656765,2.9823386284988374E-5
tmean11,7.554660861206057,2.9823386284988374E-5
tmean11,7.596791161346438,2.9823386284988374E-5
tmean11,7.638921461486818,2.9823386284988374E-5
tmean11,7.6810517616272,2.9823386284988374E-5
tmean11,7.72318206176758,2.9823386284988374E-5
tmean11,7.765312361907961,2.9823386284988374E-5
tmean11,7.8074426620483415,2.9823386284988374E-5
tmean11,7.849572962188723,2.9823386284988374E-5
tmean11,7.891703262329103,2.9823386284988374E-5
tmean11,7.933833562469484,2.9823386284988374E-5
tmean11,7.975963862609865,2.9823386284988374E-5
tmean11,8.018094162750245,2.9823386284988374E-5
tmean11,8.060224462890627,2.9823386284988374E-5
tmean11,8.102354763031007,2.9823386284988374E-5
tmean11,8.144485063171388,2.9823386284988374E-5
tmean11,8.186615363311768,2.9823386284988374E-5
tmean11,8.228745663452148,2.9823386284988374E-5
tmean11,8.27087596359253,2.9823386284988374E-5
tmean11,8.31300626373291,2.9823386284988374E-5
tmean11,8.355136563873291,2.9823386284988374E-5
tmean11,8.397266864013673,2.9823386284988374E-5
tmean11,8.439397164154053,2.9823386284988374E-5
tmean11,8.481527464294434,2.9823386284988374E-5
tmean11,8.523657764434814,2.9823386284988374E-5
tmean11,8.565788064575194,2.9823386284988374E-5
tmean11,8.607918364715577,3.0361725293914787E-5
tmean11,8.650048664855957,3.203567393939011E-5
tmean11,8.692178964996337,3.3801949030021206E-5
tmean11,8.73430926513672,3.5665605537360534E-5
tmean11,8.7764395652771,3.763201675610617E-5
tmean11,8.81856986541748,3.9706839743303135E-5
tmean11,8.86070016555786,4.1896055336110294E-5
tmean11,8.90283046569824,4.420591358211823E-5
